,,ACT Combined Midrange,ACT English Midrange,ACT Math Midrange,ACT Writing Midrange,Admission Rate,Average Age of Entry,Average Cost Academic Year,Average Cost Program Year,Carnegie Basic Classification,Carnegie Size,Carnegie Undergraduate,City,Completion Rate,Faculty Salary,Gender,Highest Degree,Latitude,Longitude,Mean Earnings 10 years,Mean Earnings 6 years,Median Earnings 10 years,Median Earnings 6 years,Ownership,Percent Asian,Percent Black,Percent Female,Percent Hispanic,Percent Married,Percent Part Time,Percent Part Time Faculty,Percent Pell Grant,Percent Veteran,Percent White,Predominant Degree,Region,Religious Affiliation,SAT Math Midrange,SAT Total Average,SAT Verbal Midrange,SAT Writing Midrange,School Name,School Webpage,Spend per student,State,Tuition (Instate),Tuition (Out of state),UNITID,Undergrad Size,ZIP,agege24,faminc
13,13,,,,,0.4366,,28525.0,,Baccalaureate/Associate's Colleges,"Very small 4-year, primarily nonresidential (less than 1,000,)",Higher part-time four-year,Montgomery,0.0784,4566.0,COED,Graduate,32.3427,-86.2165,35500,38200,29800,31600,Private for-profit,0.0033,0.6628,0.79000002145767,0.0117,,0.4808,0.1667,0.7131,,0.2988,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,South University-Montgomery,southuniversity.edu,4728.0,AL,16360.0,16360.0,101116,599.0,36116,0.73000001907348,42169.58
14,14,,,,,,,10193.0,,Associate's--Public Rural-serving Medium,"Medium 2-year (2000 to 4,999)",Medium full-time two-year,Enterprise,,6257.0,COED,Associate,31.2975,-85.837,30600,31100,26300,24100,Public,0.0166,0.2661,0.52999997138977,0.0444,,0.3538,0.426,0.5121,,0.6411,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Enterprise State Community College,www.escc.edu,5930.0,AL,3780.0,6888.0,101143,1984.0,36330-1300,0.41999998688697,27318.59
15,15,,,,,,,11921.0,,Associate's--Public Suburban-serving Multicampus,"Medium 2-year (2000 to 4,999)",Medium full-time two-year,Bay Minette,,6116.0,COED,Associate,30.852,-87.7798,31700,25500,28900,22400,Public,0.0072,0.2176,0.68999999761581,0.0263,,0.3867,0.5625,0.4885,,0.7104,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,James H Faulkner State Community College,www.faulknerstate.edu,4101.0,AL,4200.0,7530.0,101161,4182.0,36507-2698,0.33000001311302,37506.3
16,16,,,,,,,28485.0,,Baccalaureate Colleges--Diverse Fields,"Small 4-year, primarily nonresidential (1,000 to 2,999)","Medium full-time four-year, selective, lower transfer-in",Montgomery,0.2287,6657.0,COED,Graduate,32.3842,-86.2164,43500,34300,37600,30500,Private nonprofit,0.0047,0.5254,0.68999999761581,0.0178,,0.2354,0.4757,0.5816,,0.3919,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",Churches of Christ,,,,,Faulkner University,www.faulkner.edu,5382.0,AL,18230.0,18230.0,101189,2358.0,36109-3378,0.62000000476837,41904.64
17,17,,,,,,,10247.0,,Associate's--Public Rural-serving Large,"Large 2-year ( 5000 to 9,999)",Medium full-time two-year,Gadsden,,5950.0,COED,Associate,33.9919,-85.9913,29900,23200,26900,20200,Public,0.0055,0.21,0.70999997854232,0.0261,,0.4345,0.463,0.6,,0.6792,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Gadsden State Community College,www.gadsdenstate.edu,5876.0,AL,3900.0,7230.0,101240,5480.0,35903,0.43999999761581,18764.16
18,18,,,,,,,,13482.0,,,,Albertville,,,COED,Certificate,34.2593,-86.2,,,,,Private for-profit,0.0,0.0337,,0.0337,,0.0,,0.4898,,0.9326,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,New Beginning College of Cosmetology,www.nbccosmetology.com,1764.0,AL,,,101277,89.0,35951,,
19,19,,,,,,,8140.0,,Associate's--Public Rural-serving Medium,"Medium 2-year (2000 to 4,999)",Mixed part/full-time two-year,Dothan,,5544.0,COED,Associate,31.3161,-85.4636,31900,24000,27100,20800,Public,0.0058,0.3196,0.75,0.024,,0.4675,0.614,0.5548,,0.6306,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,George C Wallace State Community College-Dothan,www.wallace.edu,5296.0,AL,3900.0,7230.0,101286,4293.0,36303-9234,0.43000000715255,18035.9
20,20,,,,,,,10822.0,,Associate's--Public Rural-serving Medium,"Medium 2-year (2000 to 4,999)",Mixed part/full-time two-year,Hanceville,,5843.0,COED,Associate,34.0734,-86.7817,30600,28400,27800,25500,Public,0.0043,0.0593,0.66000002622604,0.0273,,0.4052,0.4283,0.5017,,0.875,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,George C Wallace State Community College-Hanceville,www.wallacestate.edu,5289.0,AL,4200.0,7530.0,101295,4904.0,35077-2000,0.43999999761581,33184.58
21,21,,,,,,,14835.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Medium full-time two-year,Selma,,5809.0,COED,Associate,32.4456,-87.0132,29300,23000,24400,19600,Public,0.0069,0.7594,0.69999998807907,0.0062,,0.3348,0.5564,0.7687,,0.2163,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,George C Wallace State Community College-Selma,www.wccs.edu,5581.0,AL,3900.0,7230.0,101301,1604.0,36703-2808,0.34999999403953,13685.85
22,22,,,,,0.7234,,26656.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, primarily nonresidential (less than 1,000,)",Higher part-time four-year,Birmingham,0.1778,5645.0,COED,Bachelors,33.4681,-86.8323,44100,31900,42300,29300,Private for-profit,0.0094,0.5881,0.56999999284744,0.0063,,0.4969,0.3077,0.6373,,0.3491,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Herzing University-Birmingham,www.herzing.edu/birmingham,6942.0,AL,11150.0,11150.0,101365,318.0,35209,0.63999998569488,27630.62
23,23,22.0,22.0,20.0,,0.6279,,31433.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, primarily residential (less than 1,000)","Full-time four-year, selective, higher transfer-in",Montgomery,0.4319,6027.0,COED,Bachelors,32.3509,-86.2853,40300,32000,37100,29700,Private nonprofit,0.0091,0.1918,0.5,0.02,,0.1836,0.4083,0.4302,,0.5845,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",United Methodist,480.0,999.0,460.0,,Huntingdon College,www.huntingdon.edu,6571.0,AL,23500.0,23500.0,101435,1100.0,36106-2148,0.20999999344348,63952.76
24,24,,,,,,,21160.0,,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,Florence,0.0,5512.0,COED,Graduate,34.8591,-87.6621,43400,PrivacySuppressed,32700,PrivacySuppressed,Private nonprofit,0.0,0.1194,0.27000001072883,0.0448,,0.5224,1.0,0.4839,,0.7313,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",Churches of Christ,,,,,Heritage Christian University,www.hcu.edu,9356.0,AL,9792.0,9792.0,101453,67.0,35630-9977,0.62999999523162,32348.1
25,25,,,,,,,12217.0,,Associate's--Public Rural-serving Small,"Small 2-year (500 to 1,999)",Mixed part/full-time two-year,Huntsville,,6947.0,COED,Associate,34.7721,-86.5738,27300,21800,23500,18400,Public,0.0048,0.6231,0.60000002384185,0.025,,0.3894,0.378,0.5873,,0.3096,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,J F Drake State Community and Technical College,www.drakestate.edu,5498.0,AL,3336.0,6000.0,101462,1040.0,35811,0.64999997615814,15507.38
26,26,23.0,22.0,21.0,,0.8326,,19202.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, primarily nonresidential (3,000 to 9,999)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Jacksonville,0.3083,6857.0,COED,Graduate,33.8221,-85.7666,36600,29800,35100,27000,Public,0.0053,0.2628,0.57999998331069,0.0133,,0.2128,0.6516,0.4613,,0.6655,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,480.0,1036.0,485.0,,Jacksonville State University,www.jsu.edu/,6949.0,AL,7092.0,13884.0,101480,7195.0,36265,0.23999999463558,47062.65
27,27,,,,,,,9149.0,,Associate's--Public Rural-serving Small,"Small 2-year (500 to 1,999)",Mixed part/full-time two-year,Brewton,,5636.0,COED,Associate,31.102,-87.0858,30900,25500,27200,21900,Public,0.0183,0.297,0.69999998807907,0.0116,,0.4089,0.5,0.5283,,0.5853,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Jefferson Davis Community College,www.jdcc.edu,5655.0,AL,3908.0,7238.0,101499,1037.0,36426,0.43000000715255,18580.6
28,28,,,,,,,12943.0,,Associate's--Public Urban-serving Multicampus,"Large 2-year ( 5000 to 9,999)",Higher part-time two-year,Birmingham,,6079.0,COED,Associate,33.6524,-86.7074,33400,27200,30300,24700,Public,0.0169,0.2171,0.73000001907348,0.0388,,0.6182,0.3348,0.3579,,0.6894,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Jefferson State Community College,www.jeffstateonline.com,4576.0,AL,4260.0,7590.0,101505,7494.0,35215-3098,0.46000000834465,33078.37
29,29,,,,,,,9829.0,,Associate's--Public Rural-serving Large,"Large 2-year ( 5000 to 9,999)",Mixed part/full-time two-year,Tanner,,6083.0,COED,Associate,34.6543,-86.9491,31700,26400,27200,23500,Public,0.0191,0.1949,0.66000002622604,0.0396,,0.5785,0.2998,0.4032,,0.6627,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,John C Calhoun State Community College,www.calhoun.edu,3720.0,AL,4140.0,7410.0,101514,9970.0,35671,0.47999998927116,33714.57
30,30,22.0,23.0,20.0,,0.7388,,27815.0,,Baccalaureate Colleges--Arts & Sciences,"Very small 4-year, primarily residential (less than 1,000)","Medium full-time four-year, selective, higher transfer-in",Marion,0.4051,5638.0,WOMENONLY,Bachelors,32.6305,-87.3161,33800,20700,30700,20200,Private nonprofit,0.0091,0.145,0.97000002861022,0.0151,,0.2115,1.0,0.4788,,0.7915,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",Baptist,550.0,1023.0,595.0,570.0,Judson College,www.judson.edu,9293.0,AL,15630.0,15630.0,101541,331.0,36756,0.2199999988079,49479.42
31,31,,,,,,,12602.0,,Associate's--Public Urban-serving Multicampus,"Medium 2-year (2000 to 4,999)",Mixed part/full-time two-year,Birmingham,,6005.0,COED,Associate,33.4517,-86.8902,26700,22200,22300,19500,Public,0.0031,0.7557,0.69999998807907,0.0104,,0.3825,0.4093,0.6821,,0.1448,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Lawson State Community College-Birmingham Campus,www.lawsonstate.edu,5705.0,AL,4230.0,7590.0,101569,2894.0,35221-1717,0.38999998569488,16636.97
32,32,20.0,19.0,20.0,,0.9957,,17959.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, primarily residential (3,000 to 9,999)","Medium full-time four-year, selective, higher transfer-in",Livingston,0.3161,6408.0,COED,Graduate,32.5924,-88.1861,36600,31400,33800,28500,Public,0.0101,0.4195,0.56999999284744,0.0216,,0.1479,0.5404,0.5604,,0.4291,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,950.0,,,University of West Alabama,www.uwa.edu,8898.0,AL,7660.0,14170.0,101587,1988.0,35470,0.20999999344348,37752.64
33,33,,,,,,,13204.0,,Associate's--Public Rural-serving Small,"Small 2-year (500 to 1,999)",Medium full-time two-year,Andalusia,,5629.0,COED,Associate,31.3229,-86.4523,31800,24200,28000,20800,Public,0.0058,0.2493,0.6700000166893,0.0087,,0.2937,0.6531,0.5753,,0.7259,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Lurleen B Wallace Community College,www.lbwcc.edu,5904.0,AL,4170.0,7500.0,101602,1372.0,36420-1418,0.38999998569488,21222.83
34,34,22.0,21.0,22.0,,0.6034,,16520.0,,Associate's--Public Rural-serving Small,Very small 2-year (less than 500),Higher full-time two-year,Marion,,5909.0,COED,Associate,32.6224,-87.318,53000,30300,48500,26100,Public,0.0365,0.2287,0.12999999523162,0.1022,,0.0,0.75,0.4424,,0.5766,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,530.0,1040.0,525.0,,Marion Military Institute,www.marionmilitary.edu,6128.0,AL,8570.0,14570.0,101648,411.0,36756-3207,0.02999999932944,59734.02
35,35,,,,,,,21336.0,,Baccalaureate Colleges--Diverse Fields,"Small 4-year, primarily residential (1,000 to 2,999)","Full-time four-year, inclusive",Fairfield,0.216,4026.0,COED,Bachelors,33.4813,-86.9086,28700,21700,27200,19400,Private nonprofit,0.0,0.9693,0.50999999046325,0.0054,,0.0523,0.7786,0.8227,,0.018,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",Christian Methodist Episcopal,,,,,Miles College,www.miles.edu,4921.0,AL,11454.0,11454.0,101675,1663.0,35064-2621,0.15000000596046,27816.45
36,36,23.0,24.0,21.0,,0.7125,,30108.0,,Baccalaureate Colleges--Diverse Fields,"Small 4-year, primarily residential (1,000 to 2,999)","Full-time four-year, selective, higher transfer-in",Mobile,0.4904,5024.0,COED,Graduate,30.7932,-88.1289,40900,31600,37800,28600,Private nonprofit,0.0095,0.216,0.68000000715255,0.0122,,0.1461,1.0,0.5032,,0.6461,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",Southern Baptist,575.0,1058.0,540.0,,University of Mobile,www.umobile.edu,6715.0,AL,18690.0,18690.0,101693,1472.0,36613-2842,0.40000000596046,51471.07
37,37,23.0,25.0,21.0,,0.8729,,20209.0,,Master's Colleges and Universities (medium programs),"Small 4-year, primarily residential (1,000 to 2,999)","Full-time four-year, selective, lower transfer-in",Montevallo,0.4493,7035.0,COED,Graduate,33.1063,-86.8651,36300,26800,35100,26300,Public,0.0065,0.1398,0.68999999761581,0.023,,0.1004,0.5951,0.4136,,0.7368,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,508.0,1070.0,554.0,510.0,University of Montevallo,www.montevallo.edu,7719.0,AL,10000.0,19690.0,101709,2610.0,35115-6000,0.15999999642372,58419.08
38,38,,,,,,,9111.0,,Associate's--Public Rural-serving Medium,"Medium 2-year (2000 to 4,999)",Mixed part/full-time two-year,Muscle Shoals,,6055.0,COED,Associate,34.7396,-87.6773,30200,24000,26300,20400,Public,0.0031,0.127,0.63999998569488,0.0343,,0.4331,0.5366,0.5233,,0.8195,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Northwest-Shoals Community College,www.nwscc.edu,5013.0,AL,4140.0,7470.0,101736,3235.0,35661,0.34999999403953,29186.33
39,39,22.0,20.0,22.0,,0.8092,,15058.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, primarily nonresidential (3,000 to 9,999)","Full-time four-year, selective, higher transfer-in",Florence,0.3216,7152.0,COED,Graduate,34.8066,-87.681,39500,30600,36300,27800,Public,0.0038,0.1384,0.55000001192092,0.0246,,0.1358,0.9882,0.4192,,0.715,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,482.0,1028.0,489.0,,University of North Alabama,www.una.edu,6814.0,AL,7078.0,12670.0,101879,5536.0,35632-0001,0.18999999761581,52611.8
40,40,,,,,,,7860.0,,Associate's--Public Rural-serving Medium,"Medium 2-year (2000 to 4,999)",Mixed part/full-time two-year,Rainsville,,6099.0,COED,Associate,34.5455,-85.9117,31700,24600,28700,21300,Public,0.0055,0.0181,0.68999999761581,0.0526,,0.3973,0.372,0.628,,0.8885,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Northeast Alabama Community College,www.nacc.edu,4473.0,AL,4200.0,7530.0,101897,2376.0,35986,0.47999998927116,26342.02
41,41,20.0,20.0,19.0,,0.3435,,34705.0,,Baccalaureate Colleges--Diverse Fields,"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, inclusive",Huntsville,0.3632,5307.0,COED,Graduate,34.7566,-86.6616,38800,27400,33700,20900,Private nonprofit,0.0016,0.8495,0.56000000238418,0.0237,,0.0453,1.0,0.5066,,0.0102,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",Seventh Day Adventists,455.0,924.0,462.0,,Oakwood University,www.oakwood.edu,7656.0,AL,16234.0,16234.0,101912,1854.0,35896,0.12999999523162,54196.14
42,42,,,,,,,10701.0,,Associate's--Public Rural-serving Small,"Small 2-year (500 to 1,999)",Medium full-time two-year,Monroeville,,5869.0,COED,Associate,31.4889,-87.3264,27500,23400,23200,18600,Public,0.0057,0.4187,0.69999998807907,0.0074,,0.2726,1.0,0.5602,,0.5452,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Alabama Southern Community College,www.ascc.edu,6731.0,AL,4200.0,7530.0,101949,1218.0,36460,0.31999999284744,17293.63
43,43,,,,,,,24676.0,,Associate's--Private For-profit,Very small 2-year (less than 500),Higher full-time two-year,Montgomery,,4710.0,COED,Associate,32.3831,-86.1622,28700,PrivacySuppressed,29000,PrivacySuppressed,Private for-profit,0.0098,0.2745,0.89999997615814,0.0294,,0.0,,0.6446,,0.6667,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Prince Institute-Southeast,princeinstitute.edu,5269.0,AL,9685.0,9685.0,101958,102.0,36117,0.5,39000.1
44,44,,,,,,,9693.0,,Associate's--Public Rural-serving Small,"Small 2-year (500 to 1,999)",Medium full-time two-year,Evergreen,,5875.0,COED,Associate,31.4607,-86.9645,24200,24200,20100,19800,Public,0.0024,0.4928,0.75999999046325,0.0121,,0.372,0.6842,0.701,,0.471,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Reid State Technical College,www.rstc.edu,5559.0,AL,4260.0,7590.0,101994,414.0,36401,0.52999997138977,16238.09
